County,date,deaths,cases,Region,Color
New York,2020-03-17T00:00:00Z,0,814,New York City,#c8ff00
Onondaga,2020-03-17T00:00:00Z,0,2,Central New York,#d7e1be
Orange,2020-03-17T00:00:00Z,0,15,Mid-Hudson,#91bdf0
Putnam,2020-03-17T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Rockland,2020-03-17T00:00:00Z,2,22,Mid-Hudson,#91bdf0
Saratoga,2020-03-17T00:00:00Z,0,9,Capital,#00ffff
Schenectady,2020-03-17T00:00:00Z,0,5,Capital,#00ffff
Suffolk,2020-03-17T00:00:00Z,2,97,Long Island,#ff64a5
Tompkins,2020-03-17T00:00:00Z,0,2,Southern Tier,#ffd900
Ulster,2020-03-17T00:00:00Z,0,8,Mid-Hudson,#91bdf0
Westchester,2020-03-17T00:00:00Z,0,380,Mid-Hudson,#91bdf0
New York State,2020-03-18T00:00:00Z,30,3038,New York State,#7a7a7a
Albany,2020-03-18T00:00:00Z,0,36,Capital,#00ffff
Allegany,2020-03-18T00:00:00Z,0,2,Western New York,#979797
Dutchess,2020-03-18T00:00:00Z,0,20,Mid-Hudson,#91bdf0
Erie,2020-03-18T00:00:00Z,0,20,Western New York,#979797
Greene,2020-03-18T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-18T00:00:00Z,1,19,Finger Lakes,#b4ffaa
Montgomery,2020-03-18T00:00:00Z,0,2,Mohawk Valley,#ffff00
Nassau,2020-03-18T00:00:00Z,1,278,Long Island,#ff64a5
New York,2020-03-18T00:00:00Z,0,1871,New York City,#c8ff00
Oneida,2020-03-18T00:00:00Z,0,2,Central New York,#d7e1be
Onondaga,2020-03-18T00:00:00Z,0,6,Central New York,#d7e1be
Orange,2020-03-18T00:00:00Z,0,32,Mid-Hudson,#91bdf0
Putnam,2020-03-18T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Rensselaer,2020-03-18T00:00:00Z,0,4,Capital,#00ffff
Rockland,2020-03-18T00:00:00Z,2,31,Mid-Hudson,#91bdf0
Saratoga,2020-03-18T00:00:00Z,0,14,Capital,#00ffff
Schenectady,2020-03-18T00:00:00Z,0,14,Capital,#00ffff
Suffolk,2020-03-18T00:00:00Z,3,116,Long Island,#ff64a5
Tompkins,2020-03-18T00:00:00Z,0,6,Southern Tier,#ffd900
Ulster,2020-03-18T00:00:00Z,0,9,Mid-Hudson,#91bdf0
Westchester,2020-03-18T00:00:00Z,0,538,Mid-Hudson,#91bdf0
New York State,2020-03-19T00:00:00Z,50,5704,New York State,#7a7a7a
Albany,2020-03-19T00:00:00Z,0,43,Capital,#00ffff
Allegany,2020-03-19T00:00:00Z,0,2,Western New York,#979797
Dutchess,2020-03-19T00:00:00Z,0,31,Mid-Hudson,#91bdf0
Erie,2020-03-19T00:00:00Z,0,28,Western New York,#979797
Greene,2020-03-19T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-19T00:00:00Z,1,30,Finger Lakes,#b4ffaa
Montgomery,2020-03-19T00:00:00Z,0,2,Mohawk Valley,#ffff00
Nassau,2020-03-19T00:00:00Z,1,372,Long Island,#ff64a5
New York,2020-03-19T00:00:00Z,0,3954,New York City,#c8ff00
Niagara,2020-03-19T00:00:00Z,0,4,Western New York,#979797
Oneida,2020-03-19T00:00:00Z,0,2,Central New York,#d7e1be
Onondaga,2020-03-19T00:00:00Z,0,7,Central New York,#d7e1be
Orange,2020-03-19T00:00:00Z,0,51,Mid-Hudson,#91bdf0
Putnam,2020-03-19T00:00:00Z,0,5,Mid-Hudson,#91bdf0
Rensselaer,2020-03-19T00:00:00Z,0,4,Capital,#00ffff
Rockland,2020-03-19T00:00:00Z,2,53,Mid-Hudson,#91bdf0
Saratoga,2020-03-19T00:00:00Z,0,14,Capital,#00ffff
Schenectady,2020-03-19T00:00:00Z,0,14,Capital,#00ffff
Suffolk,2020-03-19T00:00:00Z,3,239,Long Island,#ff64a5
Tompkins,2020-03-19T00:00:00Z,0,6,Southern Tier,#ffd900
Ulster,2020-03-19T00:00:00Z,0,9,Mid-Hudson,#91bdf0
Westchester,2020-03-19T00:00:00Z,0,798,Mid-Hudson,#91bdf0
Wyoming,2020-03-19T00:00:00Z,0,2,Western New York,#979797
New York State,2020-03-20T00:00:00Z,48,8403,New York State,#7a7a7a
Albany,2020-03-20T00:00:00Z,0,70,Capital,#00ffff
Allegany,2020-03-20T00:00:00Z,0,2,Western New York,#979797
Clinton,2020-03-20T00:00:00Z,0,3,North Country,#dcc8dc
Columbia,2020-03-20T00:00:00Z,0,3,Capital,#00ffff
Dutchess,2020-03-20T00:00:00Z,0,36,Mid-Hudson,#91bdf0
Erie,2020-03-20T00:00:00Z,0,47,Western New York,#979797
