"Intercept" "Black" "q_2" "q_3" "q_4" "q_5" "householdincome" "education" "beds" "obesity" "COPD" "age65" "diabetic"
"KS" 8.61958574751552e-151 0.657677361867044 0.114508136558745 0.458077860454687 0.0986452814951308 0.846960978214219 0.389031348511818 0.145326658861573 0.205772979382238 0.132512774655805 0.952046532863138 0.705012742839608 0.0680649120339425
"KY" NA NA NA NA NA NA NA NA NA NA NA NA NA
"LA" 3.24951024004788e-42 7.90105374477425e-07 0.0189222941121368 0.0114863734741064 0.0122775074482289 0.0103106217176604 0.000189112277108344 0.867590990734348 0.699547805133502 0.0967784216680968 0.231914456667703 0.85136153621481 0.354779838955036
"MA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"MD" NA NA NA NA NA NA NA NA NA NA NA NA NA
"ME" NA NA NA NA NA NA NA NA NA NA NA NA NA
"MI" 0.999998902662603 0.13155276268619 0.999999116040841 0.999999112807746 0.999999121618832 0.999999108903187 0.873305536609908 0.73702091122423 0.00764694389554303 0.532477242276676 0.00332046637546934 0.00122061955393616 0.294494855489353
"MN" 4.46406646708475e-95 0.293449983429897 0.706958047877246 0.0883867546806133 0.403520120933901 0.118345035757607 0.993619401125977 0.893416065021749 0.179999261300785 0.222204747594151 0.0380528735734878 0.10182433931244 0.201104592895258
"MO" 1.96815579458345e-78 0.0139698833635211 0.00313689090659322 0.208236629948681 0.0979471052117767 0.370879092024266 0.00121339460661201 0.00707519428677475 0.246238202709875 0.66083299303661 0.163247952978578 0.185306250911848 0.0732538947601893
"MS" 7.75230403263249e-61 0.181217743612031 0.605680619336617 0.722582187918406 0.58469156773471 0.192236072257758 0.498310969946737 0.324267613669359 0.179108119077283 0.468105611433363 0.00185151792108662 0.00121221645353202 0.462495884380391
"MT" 1.02503537955647e-22 0.281727646517948 0.420005438892779 0.997663886324414 0.88138154723406 0.788957860017718 0.162806998177288 0.00153774048993784 0.377755930281252 0.140255021315389 0.471609353366109 0.44794299842931 0.831758800549024
"NC" NA NA NA NA NA NA NA NA NA NA NA NA NA
"ND" NA NA NA NA NA NA NA NA NA NA NA NA NA
"NE" 3.77332294856588e-180 0.0446295250200072 0.279209349984877 0.862308532869855 0.602769261006804 0.0422415915930377 0.0459681029618186 0.1441176426229 0.48181537956119 0.394693779419903 0.128910972255147 0.214185885070753 0.625636352108222
"NH" NA NA NA NA NA NA NA NA NA NA NA NA NA
"NJ" NA NA NA NA NA NA NA NA NA NA NA NA NA
"NV" 0.999758456953268 0.999930135325361 0.999962557999367 0.999959872582278 0.99996931443617 0.999896656609996 0.999936028370081 0.999820175196156 0.999944527046514 0.999911805357153 0.999919176785053 0.999936846386942 0.999929321002188
"NY" 0.999998781096649 0.00933269216317094 0.999999962630976 0.999999000881728 0.999999008755254 0.999999026745611 0.000378972118530365 0.539817338256484 0.0540454030139612 0.00408779176808109 0.0437511438833158 0.252175143046284 2.05261237352869e-05
"OH" NA NA NA NA NA NA NA NA NA NA NA NA NA
"OK" 2.78167537339793e-125 0.996472976323027 0.0719478971909017 0.0532247214897043 0.815303300091618 0.529939152704361 0.012068578291251 0.173901939351122 0.258026733972923 0.155448457224874 0.358424161835846 0.291200364040954 0.179421198070099
"OR" 1.30209070453078e-28 6.90979515557334e-06 0.267201336934853 0.274170433021448 0.50499010273555 0.740399108074057 0.00631026002441642 0.748877685687414 0.407185360161638 0.029184378145146 0.00146983120475111 0.00495191721600312 0.097255201253425
"PA" 0.999999346727041 0.0342954237884323 0.99999950991859 0.999999481371725 0.999999482389289 0.999999473587663 0.00676513570817277 0.167195359008362 0.163842905816236 0.250577224753779 0.605503956908568 0.762489573631422 0.165195335489081
"SC" NA NA NA NA NA NA NA NA NA NA NA NA NA
